Class,Spec,Parses
Death Knight,Unholy,"80,900"
Death Knight,Frost,"41,461"
Demon Hunter,Havoc,"161,048"
Druid,Balance,"89,145"
Druid,Feral,"31,705"
Evoker,Augmentation,"55,274"
Evoker,Devastation,"42,536"
Hunter,Beast Mastery,"221,163"
Hunter,Marksmanship,"26,583"
Hunter,Survival,"18,166"
Mage,Frost,"108,890"
Mage,Fire,"50,618"
Mage,Arcane,"25,197"
Monk,Windwalker,"82,412"
Paladin,Retribution,"272,186"
Priest,Shadow,"53,071"
Rogue,Outlaw,"43,885"
Rogue,Assassination,"33,626"
Rogue,Subtlety,"19,546"
Shaman,Enhancement,"54,961"
Shaman,Elemental,"45,415"
Warlock,Demonology,"118,622"
Warlock,Destruction,"67,730"
Warlock,Affliction,"12,865"
Warrior,Fury,"180,709"
Warrior,Arms,"52,720"
