Class,Spec,Parses
Death Knight,Frost,"14,304"
Death Knight,Unholy,"19,956"
Demon Hunter,Havoc,"88,295"
Druid,Balance,"66,460"
Druid,Feral,"10,411"
Hunter,Beast Mastery,"69,594"
Hunter,Marksmanship,"30,651"
Hunter,Survival,"7,267"
Mage,Arcane,"14,082"
Mage,Fire,"13,767"
Mage,Frost,"75,043"
Monk,Windwalker,"26,287"
Paladin,Retribution,"60,151"
Priest,Shadow,"58,772"
Rogue,Assassination,"39,326"
Rogue,Outlaw,"25,780"
Rogue,Subtlety,"1,762"
Shaman,Elemental,"46,138"
Shaman,Enhancement,"16,640"
Warlock,Affliction,"19,275"
Warlock,Demonology,"42,118"
Warlock,Destruction,"37,761"
Warrior,Arms,"17,798"
Warrior,Fury,"51,561"
