Class,Spec,Parses
Death Knight,Unholy,160
Death Knight,Frost,112
Demon Hunter,Havoc,477
Druid,Balance,446
Druid,Feral,113
Hunter,Beast Mastery,683
Hunter,Marksmanship,153
Hunter,Survival,50
Mage,Frost,442
Mage,Arcane,110
Mage,Fire,92
Monk,Windwalker,204
Paladin,Retribution,489
Priest,Shadow,353
Rogue,Assassination,289
Rogue,Outlaw,159
Rogue,Subtlety,21
Shaman,Elemental,325
Shaman,Enhancement,117
Warlock,Destruction,313
Warlock,Affliction,203
Warlock,Demonology,103
Warrior,Fury,464
Warrior,Arms,133
