Class,Spec,Parses
Death Knight,Frost,"3,710"
Death Knight,Unholy,"4,847"
Demon Hunter,Havoc,"16,098"
Druid,Feral,"1,986"
Druid,Balance,"9,273"
Hunter,Survival,932
Hunter,Marksmanship,"2,020"
Hunter,Beast Mastery,"13,001"
Mage,Arcane,"3,172"
Mage,Frost,"7,162"
Mage,Fire,"7,547"
Monk,Windwalker,"4,343"
Paladin,Retribution,"7,409"
Priest,Shadow,"6,746"
Rogue,Subtlety,377
Rogue,Outlaw,"4,804"
Rogue,Assassination,"6,555"
Shaman,Enhancement,"2,652"
Shaman,Elemental,"7,267"
Warlock,Demonology,"2,136"
Warlock,Affliction,"4,030"
Warlock,Destruction,"7,630"
Warrior,Arms,"2,242"
Warrior,Fury,"10,881"
