Class,Spec,Parses
Death Knight,Frost,"168,162"
Death Knight,Unholy,"62,080"
Demon Hunter,Havoc,"149,617"
Druid,Balance,"123,081"
Druid,Feral,"37,674"
Evoker,Devastation,"65,941"
Evoker,Augmentation,"53,519"
Hunter,Beast Mastery,"141,986"
Hunter,Marksmanship,"111,321"
Hunter,Survival,"35,256"
Mage,Arcane,"174,773"
Mage,Frost,"117,636"
Mage,Fire,"47,491"
Monk,Windwalker,"98,140"
Paladin,Retribution,"299,647"
Priest,Shadow,"104,430"
Rogue,Assassination,"95,335"
Rogue,Outlaw,"22,551"
Rogue,Subtlety,"11,987"
Shaman,Elemental,"122,550"
Shaman,Enhancement,"90,747"
Warlock,Destruction,"136,147"
Warlock,Demonology,"67,180"
Warlock,Affliction,"66,875"
Warrior,Fury,"175,446"
Warrior,Arms,"42,245"
