Class,Spec,Parses
Death Knight,Unholy,"34,154"
Death Knight,Frost,"18,317"
Demon Hunter,Havoc,"101,188"
Druid,Balance,"64,156"
Druid,Feral,"12,166"
Hunter,Beast Mastery,"105,377"
Hunter,Marksmanship,"8,813"
Hunter,Survival,"3,965"
Mage,Fire,"56,528"
Mage,Frost,"32,851"
Mage,Arcane,"12,276"
Monk,Windwalker,"24,100"
Paladin,Retribution,"52,480"
Priest,Shadow,"34,982"
Rogue,Assassination,"42,294"
Rogue,Outlaw,"23,126"
Rogue,Subtlety,"1,231"
Shaman,Elemental,"38,496"
Shaman,Enhancement,"15,787"
Warlock,Destruction,"52,584"
Warlock,Affliction,"21,538"
Warlock,Demonology,"7,734"
Warrior,Fury,"65,240"
Warrior,Arms,"18,770"
