Class,Spec,Parses
Death Knight,Unholy,"3,267"
Death Knight,Frost,"4,444"
Demon Hunter,Havoc,"9,123"
Druid,Feral,"2,206"
Druid,Balance,"6,619"
Hunter,Survival,"6,844"
Hunter,Marksmanship,"6,075"
Hunter,Beast Mastery,"11,596"
Mage,Frost,"8,276"
Mage,Fire,"4,161"
Mage,Arcane,"1,496"
Monk,Windwalker,"3,523"
Paladin,Retribution,"6,804"
Priest,Shadow,"4,475"
Rogue,Subtlety,"3,988"
Rogue,Assassination,"1,960"
Rogue,Outlaw,"1,282"
Shaman,Enhancement,"4,897"
Shaman,Elemental,"4,984"
Warlock,Demonology,"5,671"
Warlock,Destruction,"13,195"
Warlock,Affliction,759
Warrior,Arms,"2,093"
Warrior,Fury,"9,376"
