Class,Spec,Parses
Death Knight,Frost,"8,282"
Death Knight,Unholy,"6,244"
Demon Hunter,Havoc,"29,819"
Druid,Balance,"20,143"
Druid,Feral,"4,132"
Hunter,Survival,"4,669"
Hunter,Beast Mastery,"27,826"
Hunter,Marksmanship,"6,586"
Mage,Frost,"22,321"
Mage,Fire,"8,076"
Mage,Arcane,"6,077"
Monk,Windwalker,"9,574"
Paladin,Retribution,"20,733"
Priest,Shadow,"15,245"
Rogue,Assassination,"14,525"
Rogue,Subtlety,"1,867"
Rogue,Outlaw,"7,043"
Shaman,Elemental,"17,279"
Shaman,Enhancement,"7,032"
Warlock,Demonology,"13,955"
Warlock,Affliction,"9,654"
Warlock,Destruction,"11,655"
Warrior,Fury,"18,385"
Warrior,Arms,"7,723"
