Class,Spec,Parses
Death Knight,Unholy,"10,376"
Death Knight,Frost,"3,666"
Demon Hunter,Havoc,"18,681"
Druid,Balance,"10,349"
Druid,Feral,"6,515"
Evoker,Devastation,"15,355"
Hunter,Beast Mastery,"39,286"
Hunter,Marksmanship,"13,733"
Hunter,Survival,"3,388"
Mage,Frost,"15,353"
Mage,Fire,"6,242"
Mage,Arcane,"2,896"
Monk,Windwalker,"10,319"
Paladin,Retribution,"15,675"
Priest,Shadow,"16,116"
Rogue,Subtlety,"7,731"
Rogue,Outlaw,"5,284"
Rogue,Assassination,"3,625"
Shaman,Enhancement,"10,795"
Shaman,Elemental,"8,819"
Warlock,Destruction,"13,171"
Warlock,Demonology,"10,840"
Warlock,Affliction,"4,291"
Warrior,Fury,"15,542"
Warrior,Arms,"9,520"
